0,50400,200,50000,900,1800,14400,18000
50401,54000,200,50000,900,1800,1800,2000
54001,57600,200,50000,900,1800,2500,3000
57601,58800,200,50000,900,1800,1800,2000
58801,72000,200,50000,900,1800,2500,3000
72001,73200,200,50000,900,1800,1800,2000
73201,86400,200,50000,900,1800,2500,3000
86401,144000,200,50000,900,1800,14400,18000
144001,145200,200,50000,900,1800,1800,2000
145201,162000,200,50000,900,1800,2500,3000
162001,169200,200,50000,900,1800,2000,2500
169201,230400,200,50000,900,1800,14400,18000
230401,231600,200,50000,900,1800,1800,2000
231601,248400,200,50000,900,1800,3000,3600
248401,255600,200,50000,900,1800,1800,2000
 
